Wavelength (nm),266910 %T (Unpolarized),,,,,
533,6.70E-06,,,,,
533.5,1.13E-05,,,,,
534,1.60E-05,,,,,
534.5,1.54E-05,,,,,
535,1.49E-05,,,,,
535.5,1.07E-05,,,,,
536,6.55E-06,,,,,
536.5,7.52E-06,,,,,
537,8.49E-06,,,,,
537.5,8.50E-06,,,,,
538,8.51E-06,,,,,
538.5,1.14E-05,,,,,
539,1.42E-05,,,,,
539.5,1.24E-05,,,,,
540,1.05E-05,,,,,
540.5,1.24E-05,,,,,
541,1.42E-05,,,,,
541.5,1.29E-05,,,,,
542,1.16E-05,,,,,
542.5,3.00E-05,,,,,
543,4.85E-05,,,,,
543.5,3.42E-05,,,,,
544,1.99E-05,,,,,
544.5,1.37E-05,,,,,
545,7.47E-06,,,,,
545.5,1.92E-05,,,,,
546,3.09E-05,,,,,
546.5,6.93E-05,,,,,
547,1.08E-04,,,,,
547.5,1.59E-04,,,,,
548,2.11E-04,,,,,
548.5,3.40E-04,,,,,
549,4.70E-04,,,,,
549.5,9.22E-04,,,,,
550,1.37E-03,,,,,
550.5,2.76E-03,,,,,
551,4.14E-03,,,,,
551.5,1.01E-02,,,,,
552,1.60E-02,,,,,
552.5,4.37E-02,,,,,
553,7.15E-02,,,,,
553.5,2.46E-01,,,,,
554,4.21E-01,,,,,
554.5,2.12E+00,,,,,
555,3.82E+00,,,,,
555.5,1.81E+01,,,,,
556,3.24E+01,,,,,
556.5,5.89E+01,,,,,
557,8.53E+01,,,,,
557.5,9.06E+01,,,,,
558,9.59E+01,,,,,
558.5,9.66E+01,,,,,
559,9.74E+01,,,,,
559.5,9.73E+01,,,,,
560,9.72E+01,,,,,
560.5,9.70E+01,,,,,
561,9.69E+01,,,,,
561.5,9.69E+01,,,,,
562,9.70E+01,,,,,
562.5,9.65E+01,,,,,
563,9.61E+01,,,,,
563.5,9.56E+01,,,,,
564,9.50E+01,,,,,
564.5,9.50E+01,,,,,
565,9.50E+01,,,,,
565.5,9.45E+01,,,,,
566,9.39E+01,,,,,
566.5,9.02E+01,,,,,
567,8.64E+01,,,,,
567.5,8.25E+01,,,,,
568,7.85E+01,,,,,
568.5,7.96E+01,,,,,
569,8.08E+01,,,,,
569.5,6.32E+01,,,,,
570,4.57E+01,,,,,
570.5,2.66E+01,,,,,
571,7.43E+00,,,,,
571.5,4.21E+00,,,,,
572,9.99E-01,,,,,
572.5,6.05E-01,,,,,
573,2.11E-01,,,,,
573.5,1.35E-01,,,,,
574,5.91E-02,,,,,
574.5,3.93E-02,,,,,
575,1.95E-02,,,,,
575.5,1.35E-02,,,,,
576,7.52E-03,,,,,
576.5,5.37E-03,,,,,
577,3.22E-03,,,,,
577.5,2.36E-03,,,,,
578,1.50E-03,,,,,
578.5,1.14E-03,,,,,
579,7.76E-04,,,,,
579.5,5.89E-04,,,,,
580,4.02E-04,,,,,
580.5,3.32E-04,,,,,
581,2.62E-04,,,,,
581.5,1.94E-04,,,,,
582,1.27E-04,,,,,
582.5,1.12E-04,,,,,
583,9.68E-05,,,,,
583.5,6.86E-05,,,,,
584,4.03E-05,,,,,
584.5,4.76E-05,,,,,
585,5.48E-05,,,,,
585.5,4.70E-05,,,,,
586,3.91E-05,,,,,
586.5,3.22E-05,,,,,
587,2.53E-05,,,,,
587.5,9.43E-06,,,,,
588,-6.44E-06,,,,,
588.5,2.22E-06,,,,,
589,1.09E-05,,,,,
589.5,1.43E-05,,,,,
590,1.76E-05,,,,,
590.5,-1.00E-06,,,,,
591,-1.96E-05,,,,,
591.5,4.00E-07,,,,,
592,2.04E-05,,,,,
592.5,1.70E-05,,,,,
593,1.36E-05,,,,,
593.5,9.40E-08,,,,,
594,-1.34E-05,,,,,
594.5,-3.81E-06,,,,,
595,5.82E-06,,,,,
595.5,-3.93E-06,,,,,
596,-1.37E-05,,,,,
596.5,6.69E-06,,,,,
597,2.70E-05,,,,,
597.5,2.01E-05,,,,,
598,1.31E-05,,,,,
598.5,1.24E-05,,,,,
599,1.17E-05,,,,,
599.5,-8.88E-07,,,,,
600,-1.35E-05,,,,,
600.5,-3.25E-06,,,,,
601,6.97E-06,,,,,
601.5,6.69E-06,,,,,
602,6.40E-06,,,,,
602.5,1.22E-05,,,,,
603,1.80E-05,,,,,
603.5,1.15E-05,,,,,
604,5.05E-06,,,,,
604.5,1.31E-05,,,,,
605,2.12E-05,,,,,
605.5,1.71E-05,,,,,
606,1.30E-05,,,,,
606.5,1.87E-05,,,,,
607,2.44E-05,,,,,
607.5,4.46E-05,,,,,
608,6.48E-05,,,,,
608.5,4.89E-05,,,,,
609,3.30E-05,,,,,
609.5,3.70E-05,,,,,
610,4.11E-05,,,,,
610.5,5.70E-05,,,,,
611,7.29E-05,,,,,
611.5,7.44E-05,,,,,
612,7.59E-05,,,,,
612.5,8.83E-05,,,,,
613,1.01E-04,,,,,
613.5,1.32E-04,,,,,
614,1.64E-04,,,,,
614.5,2.36E-04,,,,,
615,3.08E-04,,,,,
615.5,3.74E-04,,,,,
616,4.41E-04,,,,,
616.5,6.29E-04,,,,,
617,8.17E-04,,,,,
617.5,1.07E-03,,,,,
618,1.33E-03,,,,,
618.5,1.85E-03,,,,,
619,2.38E-03,,,,,
619.5,3.54E-03,,,,,
